CSP,Leg 1,Leg 2,Leg 3,Leg 4,Leg 5
AWS,20.563000000000002,67.43100000000001,704.097,89.144,86.527
AWS,28.028000000000002,47.069,696.898,81.241,79.842
AWS,19.23,42.811,689.704,187.349,82.218
AWS,20.837999999999997,48.32,680.114,98.577,77.375
AWS,27.154,52.417,707.717,81.883,164.223
AWS,20.764000000000003,67.119,707.527,85.795,82.663
AWS,21.680999999999997,42.441,690.677,99.709,81.379
AWS,21.807,54.931,722.151,79.609,91.649
AWS,37.906,46.504,686.695,91.166,86.165
AWS,34.202999999999996,59.333999999999996,697.431,86.828,88.756
AWS,27.032,44.281,679.757,90.969,79.499
AWS,25.313,70.221,699.519,139.267,527.027
AWS,16.559,44.702,798.4630000000001,164.397,87.498
AWS,23.546,57.985,798.23,82.307,92.17999999999999
AWS,19.546,49.013,704.218,82.967,87.024
AWS,19.465,44.035,700.324,83.95400000000001,87.654
AWS,33.504,44.3,680.31,82.209,84.27600000000001
AWS,22.738,47.967999999999996,715.622,110.219,81.50399999999999
AWS,27.076,56.849,684.581,150.818,94.72
AWS,21.410999999999998,44.862,716.604,115.653,73.64999999999999
AWS,31.901,63.795,711.295,78.841,83.444
AWS,20.226000000000003,44.044,709.442,86.75399999999999,84.857
AWS,22.544999999999998,44.309000000000005,704.727,98.091,159.72400000000002
AWS,25.311,79.94900000000001,700.664,564.176,90.503
AWS,21.642000000000003,57.209,709.631,78.545,72.962
AWS,42.998000000000005,49.157,784.705,81.743,185.645
AWS,22.837,46.502,713.553,81.902,162.173
AWS,30.165,44.748000000000005,666.219,77.877,81.22699999999999
AWS,20.004,43.738,695.778,104.474,95.83500000000001
AWS,22.799,47.724000000000004,682.083,97.055,123.67699999999999
AWS,18.297,66.831,696.638,88.583,78.51700000000001
AWS,27.131,48.023,681.1610000000001,85.368,89.161
AWS,19.526999999999997,43.574,775.714,94.894,87.316
AWS,22.248,51.546,714.8919999999999,105.199,87.4
AWS,31.236,50.571999999999996,677.334,86.838,82.454
AWS,19.419,65.69200000000001,698.751,82.71000000000001,126.56
AWS,23.591,53.940000000000005,687.1859999999999,71.24600000000001,235.837
AWS,25.583000000000002,63.804,690.216,95.531,73.387
AWS,21.788999999999998,43.03,711.859,117.535,114.187
AWS,20.763,51.583,678.156,99.035,92.989
AWS,23.348,47.893,706.431,78.283,88.355
AWS,24.118000000000002,48.578,660.168,83.73400000000001,85.331
AWS,19.761999999999997,48.357,695.8950000000001,83.937,80.97999999999999
AWS,19.169999999999998,40.959,689.575,83.277,78.958
AWS,28.951999999999998,75.547,782.328,78.637,107.299
AWS,21.013,57.226,688.801,91.579,83.168
AWS,25.428,44.515,705.807,82.557,128.362
AWS,20.052,53.476000000000006,697.821,70.113,185.21599999999998
AWS,33.754,48.016999999999996,694.4590000000001,92.394,96.479
AWS,25.139000000000003,48.215,696.056,141.97899999999998,534.091
AWS,22.066,97.464,705.364,97.66,520.098
AWS,19.705000000000002,57.842,699.7959999999999,124.208,116.08300000000001
AWS,22.020000000000003,55.669999999999995,714.424,92.688,537.824
AWS,20.236,49.098000000000006,702.5799999999999,85.01100000000001,86.15100000000001
AWS,19.980999999999998,43.867000000000004,706.303,595.579,74.31500000000001
AWS,40.75,53.432,714.735,79.53699999999999,90.62299999999999
AWS,22.148999999999997,41.388,668.208,85.15599999999999,83.118
AWS,20.796,44.25,775.868,85.521,89.732
AWS,22.552,48.057,677.015,77.987,80.38199999999999
AWS,32.765,47.54,793.359,88.18900000000001,101.047
AWS,21.472,44.437,716.293,86.65100000000001,82.259
AWS,26.828999999999997,48.458,768.0630000000001,76.95,72.362
AWS,20.341,115.59700000000001,688.444,587.744,88.041
AWS,17.323999999999998,52.523,715.265,96.625,120.421
AWS,21.461000000000002,44.061,716.336,87.191,93.03500000000001
AWS,21.402,44.113,686.716,82.933,70.463
AWS,20.554,39.709,727.837,81.031,74.65299999999999
AWS,20.218,49.87,780.8199999999999,67.006,86.68599999999999
AWS,22.313,49.983,721.699,89.066,108.38499999999999
AWS,33.263,41.602,682.661,84.30600000000001,86.12899999999999
AWS,21.153000000000002,43.185,704.568,83.111,87.787
AWS,26.193,42.165,714.8670000000001,538.415,82.774
AWS,19.794,46.471,712.2230000000001,90.779,90.567
AWS,22.313,50.644,677.092,86.99900000000001,88.96600000000001
AWS,30.793,47.631,710.5519999999999,91.491,91.21300000000001
AWS,20.549000000000003,45.883,726.626,523.8969999999999,93.928
AWS,26.263,98.866,747.177,76.114,125.779
AWS,18.827,43.827999999999996,662.353,81.57300000000001,90.306
AWS,25.381999999999998,50.09,679.275,75.20100000000001,154.953
AWS,22.941,85.464,686.0260000000001,79.641,87.616
AWS,21.624000000000002,44.447,703.197,154.73700000000002,103.23400000000001
AWS,18.127000000000002,40.951,708.8870000000001,89.093,149.051
AWS,25.592,114.557,688.095,87.14,73.252
AWS,22.104,43.863,716.114,80.09700000000001,77.23299999999999
AWS,22.198,527.325,663.003,82.319,84.702
AWS,19.583,54.345,680.243,83.376,82.901
AWS,19.967,56.111000000000004,692.269,88.34400000000001,81.31099999999999
